batchsize,depth,entangler_operation,have_less_rotations,input_activation_function,is_data_encoding_hardware_efficient,learning_rate,map_type,output_circuit,use_reuploading,dataset,task_id,val_binary_accuracy,val_auc
16,1,cz,False,linear,False,0.00010823050201745588,pairs,mZ,True,breast-w,15,0.6552174091339111,0.713714200258255
16,1,cz,False,linear,False,0.0001585657507158047,full,mZ,True,ilpd,9971,0.7135593116283416,0.5377051919698715
16,1,cz,False,linear,False,0.00025762407015368015,full,2Z,True,phoneme,9952,0.7059577643871308,0.6156569421291351
16,1,cz,False,linear,False,0.00031603048347087734,ring,mZ,False,ilpd,9971,0.7152834534645081,0.5190635234117508
16,1,cz,False,linear,False,0.00036820049290649855,full,mZ,True,phoneme,9952,0.7068854033946991,0.6547086358070373
16,1,cz,False,linear,False,0.0003773616790294441,full,mZ,True,phoneme,9952,0.7052197575569152,0.6481416642665863
16,1,cz,False,linear,False,0.00038047979705185066,ring,mZ,False,blood-transfusion-service-center,10101,0.762072068452835,0.5434611856937408
16,1,cz,False,linear,False,0.00039842590815647325,ring,mZ,True,phoneme,9952,0.7078102946281433,0.6120499491691589
16,1,cz,False,linear,False,0.0004878266777027158,ring,2Z,True,breast-w,15,0.7468115985393524,0.9444632112979889
16,1,cz,False,linear,False,0.0016937591437446464,full,mZ,True,breast-w,15,0.6652174055576324,0.8719109475612641
16,1,cz,False,linear,False,0.0023242827046829366,ring,mZ,False,ilpd,9971,0.7135593116283416,0.5403416901826859
16,1,cz,False,linear,False,0.0032164212807104338,full,2Z,True,banknote-authentication,10093,0.6253411650657654,0.689504224061966
16,1,cz,False,linear,False,0.012175319840047168,ring,2Z,False,phoneme,9952,0.7037437558174133,0.6567152738571167
16,1,cz,False,linear,False,0.01568152129875755,pairs,mZ,False,banknote-authentication,10093,0.6741986751556397,0.7431738376617432
16,1,cz,False,linear,False,0.024588208661630116,full,2Z,False,breast-w,15,0.7653830111026764,0.9382516980171204
16,1,cz,False,linear,False,0.03959852408221319,ring,2Z,True,blood-transfusion-service-center,10101,0.7300540566444397,0.5731080055236817
16,1,cz,False,linear,False,0.06780249322860533,ring,mZ,False,ilpd,9971,0.7170075893402099,0.570573502779007
16,1,cz,False,linear,False,0.13757851258989853,pairs,mZ,True,breast-w,15,0.7196894407272338,0.7666051030158997
16,1,cz,False,linear,False,0.28770101208324594,pairs,2Z,True,breast-w,15,0.8025879859924316,0.9159507155418396
16,1,cz,False,linear,False,0.3364449556397591,pairs,2Z,False,blood-transfusion-service-center,10101,0.7406126081943512,0.6185701310634613
16,1,cz,False,linear,False,0.4633937918036468,full,2Z,False,breast-w,15,0.7310973107814789,0.8836003243923187
16,1,cz,False,linear,True,0.00011799283332760074,ring,2Z,False,banknote-authentication,10093,0.6341902017593384,0.8170541286468506
16,1,cz,False,linear,True,0.0014578172348143799,pairs,mZ,True,blood-transfusion-service-center,10101,0.7620540499687195,0.6268317878246308
16,1,cz,False,linear,True,0.007248691582432776,full,2Z,True,banknote-authentication,10093,0.9060245394706726,0.9557350277900696
16,1,cz,False,linear,True,0.007261049191528531,pairs,2Z,False,blood-transfusion-service-center,10101,0.7633873820304871,0.6987960040569305
16,1,cz,False,linear,True,0.013435107044186824,full,mZ,False,diabetes,37,0.658766233921051,0.6592735171318054
16,1,cz,False,linear,True,0.016424165421076893,pairs,mZ,False,wilt,146820,0.9423438310623169,0.5217213958501816
16,1,cz,False,linear,True,0.024109857075491292,ring,mZ,True,phoneme,9952,0.6868891656398773,0.7133788585662841
16,1,cz,False,linear,True,0.06197847319644667,pairs,mZ,True,wilt,146820,0.9427570521831512,0.5300820052623749
16,1,cz,False,linear,True,0.11069251613212498,pairs,mZ,True,banknote-authentication,10093,0.7660583913326263,0.8261394321918487
16,1,cz,False,linear,True,0.3190564530327395,full,mZ,False,breast-w,15,0.8140372633934021,0.9615094542503357
16,1,cz,False,linear,True,0.4475693337231894,ring,mZ,True,ilpd,9971,0.7152834475040436,0.536900594830513
16,1,cz,False,tanh,False,0.0003240701116913825,full,2Z,True,breast-w,15,0.6909730792045593,0.9307746469974518
16,1,cz,False,tanh,False,0.00043775006724041597,ring,mZ,False,ilpd,9971,0.7135593116283416,0.5391413986682891
16,1,cz,False,tanh,False,0.0009327988028756935,ring,mZ,False,breast-w,15,0.7210352003574372,0.751078087091446
16,1,cz,False,tanh,False,0.0024802870818786205,ring,2Z,False,phoneme,9952,0.6980050683021546,0.6710292100906372
16,1,cz,False,tanh,False,0.004279227158089261,pairs,mZ,False,phoneme,9952,0.7129937708377838,0.6762068927288055
16,1,cz,False,tanh,False,0.005191171077965962,pairs,2Z,True,phoneme,9952,0.7709183990955353,0.796996396780014
16,1,cz,False,tanh,False,0.007284199392340794,ring,2Z,True,phoneme,9952,0.7050349175930023,0.6778076112270355
